time(us),amplitude
820, 1.11
1428, 1.07
2068, 0.93
2708, 0.81
3364, 0.69
4004, 0.53
4660, 0.38
5316, 0.29
5956, 0.22
6612, 0.19
7252, 0.19
7892, 0.20
8548, 0.24
9188, 0.29
9836, 0.38
10492, 0.50
11188, 0.62
11908, 0.76
12620, 0.93
13328, 1.06
14020, 1.15
14740, 1.19
15436, 1.21
16156, 1.21
16868, 1.16
17580, 1.10
18276, 1.00
18996, 0.87
19708, 0.74
20404, 0.59
21108, 0.42
21828, 0.30
22540, 0.23
23244, 0.19
23948, 0.19
24644, 0.21
25348, 0.25
26068, 0.32
26780, 0.43
27476, 0.55
28196, 0.68
28892, 0.85
29596, 1.01
30316, 1.11
31032, 1.17
31740, 1.21
32452, 1.21
33164, 1.19
33860, 1.13
34580, 1.06
35284, 0.93
35996, 0.81
36692, 0.67
37404, 0.50
38124, 0.36
38820, 0.25
39540, 0.21
40252, 0.19
40948, 0.19
41668, 0.23
42380, 0.28
43084, 0.37
43780, 0.49
44484, 0.62
45204, 0.77
45908, 0.93
46612, 1.07
47316, 1.15
48036, 1.20
48748, 1.21
49460, 1.20
50156, 1.16
50876, 1.09
51572, 0.99
52276, 0.87
52980, 0.74
53700, 0.59
54396, 0.42
55100, 0.30
55820, 0.22
56532, 0.19
57228, 0.19
57948, 0.20
58644, 0.25
59348, 0.31
60068, 0.43
60780, 0.56
61476, 0.68
62180, 0.85
62900, 1.01
63596, 1.12
64316, 1.17
65028, 1.21
65740, 1.21
66452, 1.17
67164, 1.13
67876, 1.05
68572, 0.92
69292, 0.80
69988, 0.66
70692, 0.50
71396, 0.35
72116, 0.25
72812, 0.20
73516, 0.18
74228, 0.19
74948, 0.23
75644, 0.29
76348, 0.37
77068, 0.50
77764, 0.63
78484, 0.77
79196, 0.94
79892, 1.07
80596, 1.17
81316, 1.21
82028, 1.22
82724, 1.21
83444, 1.15
84156, 1.10
84852, 0.99
85556, 0.87
86276, 0.74
86972, 0.59
87692, 0.41
88404, 0.30
89112, 0.22
89820, 0.19
90516, 0.19
91220, 0.21
91924, 0.26
92644, 0.32
93356, 0.45
94052, 0.57
94772, 0.69
95484, 0.86
96180, 1.02
96900, 1.12
97612, 1.19
98320, 1.21
99028, 1.21
99744, 1.18
100452, 1.11
101204, 1.04
101964, 0.91
102724, 0.77
103476, 0.62
104228, 0.43
104988, 0.30
105748, 0.22
106508, 0.19
107260, 0.19
108020, 0.22
108780, 0.27
109532, 0.36
110292, 0.50
111052, 0.63
111812, 0.79
112564, 0.97
113324, 1.09
114084, 1.18
114844, 1.21
115604, 1.22
116372, 1.18
117132, 1.12
117896, 1.04
118652, 0.90
119412, 0.76
120172, 0.61
120932, 0.42
121684, 0.30
122444, 0.22
123204, 0.19
123956, 0.18
124708, 0.22
125468, 0.28
126228, 0.37
126972, 0.50
127740, 0.64
128500, 0.79
129260, 0.98
130012, 1.10
130780, 1.17
131540, 1.20
132304, 1.21
133064, 1.17
133836, 1.11
134596, 1.02
135356, 0.88
136108, 0.75
136868, 0.60
137628, 0.41
138388, 0.29
139140, 0.22
139900, 0.19
140660, 0.19
141412, 0.22
142156, 0.28
142924, 0.38
143684, 0.51
144444, 0.65
145196, 0.81
145956, 1.00
146720, 1.11
147480, 1.19
148244, 1.22
149012, 1.21
149772, 1.17
150536, 1.11
151300, 1.01
152060, 0.87
152820, 0.74
153580, 0.57
154340, 0.39
155100, 0.28
155860, 0.21
156620, 0.19
157380, 0.19
158140, 0.23
158900, 0.29
159652, 0.40
